"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"SOMO31",4076.90841453638,4077.34319714508,0.000799912789123216,67.439,0.0448948296253572,-2034.45420726819,0.35120567460873,0,0,4
"Silt.SOMO31.SPIN.VRM",4072.47491370845,4076.86045587713,4.40169333877344e-06,67.457,0.0608083796806266,-2023.23745685423,0.350182482074688,0,0,13
"FF.WAT",4080.00668557553,4081.26511254182,0.00188851619167209,71.471,0.0392289061816466,-2033.00334278777,0.351261247474822,0,0,7
"WAT.WII",4080.04484938425,4081.30327635054,0.00184783218756787,72.437,0.0390835494041752,-2033.02242469213,0.351262241436813,0,0,7
"SPIN.WAT",4080.49608480744,4081.75451177373,0.00135120583172246,74.61,0.0366109662174763,-2033.24804240372,0.351274546250492,0,0,7
"DEM.WAT",4080.59294986157,4081.85137682786,0.00125559295088105,75.846,0.0360282099422908,-2033.29647493079,0.35127698199583,0,0,7
"DEM.SOMO31.SPIN.VRM",4076.74756190672,4081.13310407539,8.40872056239867e-07,78.117,0.0547017097720782,-2025.37378095336,0.350336157363691,0,0,13
"FF",4082.11927593859,4082.55405854728,0.0016835795462407,80.272,0.0435417695639409,-2037.05963796929,0.351675645953208,0,0,4
"Silt.SPIN.WII",4081.80072073463,4084.35886026951,2.48565928195668e-05,80.555,0.0310194469693328,-2030.90036036731,0.350884551619929,0,0,10
"Distance",4082.84913655785,4082.97679613232,0.000741175940988871,83.141,0.011321986389029,-2039.42456827893,0.351608693738456,0,0,2
"FF.Silt.SOMO31",4082.57004213893,4085.12818167381,1.81901719790599e-05,84.199,0.0355952322941588,-2031.28502106946,0.35088043701504,0,0,10
"FF.Silt.WII",4082.59628038087,4085.15441991576,2.05276474057214e-05,84.834,0.0357488806078687,-2031.29814019044,0.35086821458621,0,0,10
"DEM.FF.Silt",4082.65254216964,4085.21068170453,1.87355954314445e-05,85.196,0.0364323728246457,-2031.32627108482,0.350873587011778,0,0,10
"DEM.Silt.SOMO31",4083.05051764917,4085.60865718405,1.3195723295165e-05,86.533,0.0437417095598558,-2031.52525882458,0.350914677878438,0,0,10
"Silt.SOMO31.WII",4083.0627693889,4085.62090892378,1.32278332301719e-05,86.933,0.0445312610129943,-2031.53138469445,0.350913760915781,0,0,10
"Silt.SOMO31.WAT",4083.06474357666,4085.62288311154,1.32359024557152e-05,87.125,0.0447494324456612,-2031.53237178833,0.350913434300846,0,0,10
"DEM.Silt.WAT",4083.14381110865,4085.70195064354,1.27616216515191e-05,87.66,0.0400490398175894,-2031.57190555433,0.350925942489686,0,0,10
