"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"FF.Silt.SOMO31",-3567.0147245447,10,7154.0294490894,7155.8781885852,0.0352079628001371,0.671656794913536,-3567.0147245447,72.7203354067478,1.27076300250565e-16
"DEM.FF.Silt",-3567.02591830825,10,7154.051836617,7155.9005761128,0.0360708802258894,0.672548821731402,-3567.0259183085,72.7427229343484,1.2566176989038e-16
"DEM.Silt.SOMO31",-3567.53905889038,10,7155.0781177807,7156.92685727649,0.0433131444885678,0.673445561284017,-3567.53905889035,73.7690040980433,7.5222722768174e-17
"Silt.SOMO31.WAT",-3567.54003429667,10,7155.08006859333,7156.92880808913,0.0443297108742426,0.67389837904415,-3567.54003429667,73.7709549106776,7.51493858216686e-17
"Silt.SOMO31.WII",-3567.54089127867,10,7155.0817825573,7156.9305220531,0.0441095236362795,0.673799419233902,-3567.54089127865,73.7726688746498,7.50850117394079e-17
"DEM.Silt.WAT",-3567.67163491621,10,7155.34326983245,7157.19200932825,0.0395936088483108,0.671714921227302,-3567.67163491622,74.0341561497953,6.58827945965243e-17
"Silt.WAT.WII",-3567.69707537813,10,7155.39415075626,7157.24289025206,0.0448574143109242,0.674025384488134,-3567.69707537813,74.0850370736071,6.4227846451228e-17
"FF.Silt.WAT",-3567.82427537549,10,7155.64855075105,7157.49729024685,0.0298948752060078,0.671956365144161,-3567.82427537552,74.3394370683936,5.65563148412817e-17
"DEM.Silt.WII",-3567.82987800587,10,7155.65975602041,7157.50849551621,0.0384784448203883,0.6713036817368,-3567.82987801021,74.3506423377594,5.62403364524901e-17
"FF.WAT",-3571.65593688573,7,7157.31187377147,7158.22990655835,0.0382202462621355,0.657814113406131,-3571.65593688573,75.0720533799013,3.92098781570937e-17
"WAT.WII",-3571.68774638925,7,7157.37549277854,7158.29352556542,0.0380775831525552,0.657790050364502,-3571.68774638927,75.1356723869694,3.7982259874819e-17
"SPIN.WAT",-3572.06342656611,7,7158.12685313223,7159.04488591911,0.0356538095817007,0.657208044870897,-3572.06342656611,75.8870327406594,2.60870501529159e-17
