id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion,UTMX,UTMY,CoordLocation,Buffer_5km
DEC02217,Peedamulla 3,-21.9131,115.7172,26/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M56816,Hamersley,367499.7389,7576237.98,68,73
DEC02219,Peedamulla 3,-21.8983,115.7036,24/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56836,Hamersley,366080.99,7577864.615,108,73
DEC02220,Lake Poongkaliyarra 2,-20.9399,117.0348,30/9/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57232,Chichester,503618.1687,7684503.377,109,57
DEC02221,Roeburne,-20.7364,117.0989,30/9/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57236,Chichester,510296.5013,7707022.1,110,63
DEC02222,Lake Poongkaliyarra,-20.9346,117.1151,1/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57245,Chichester,511967.4154,7685086.036,111,57
DEC02224,Mount Florance 3,-21.7141,117.7755,9/10/2004,2004,F,Ningaui timealeyi,Nt,WAM_M57266,Chichester,580209.0121,7598616.778,73,41
DEC02225,Mount Florance 2,-21.8562,117.9798,9/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57270,Fortescue,601241.0199,7582767.264,112,75
DEC02226,Mount Florance,-21.795,117.857,10/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57273,Chichester,588589.2474,7589617.382,113,81
DEC02231,Coolawanyah,-21.8822,117.7945,13/10/2004,2004,F,Ningaui timealeyi,Nt,WAM_M57290,Fortescue,582078.4314,7579999.654,114,74
DEC02232,Coolawanyah,-21.8822,117.7945,14/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57295,Fortescue,582078.4314,7579999.654,114,74
DEC02233,Bonney Downs 2,-22.1178,119.8772,17/10/2004,2004,F,Ningaui timealeyi,Nt,WAM_M57305,Chichester,796831.1081,7551326.4,74,32
DEC02236,Mile,-22.6907,119.7747,18/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57310,Fortescue,785078.0484,7488054.756,115,17
DEC02240,Cowra Line,-22.3614,119.0068,1/5/2005,2005,M,Ningaui timealeyi,Nt,WAM_M57919,Fortescue,706644.8604,7525793.058,116,29
DEC02241,Mount Bruce 3,-22.6214,118.3147,25/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M60514,Hamersley,635113.6919,7497793.829,88,23
DEC02242,Mount Bruce,-22.5833,118.2903,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60518,Hamersley,632642.2795,7502033.97,117,23
DEC02244,Goldsworthy,-20.3908,119.9086,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61044,McLarty,803596.2758,7742585.263,118,61
DEC02245,Warrawagine 2,-20.9169,120.6242,2/10/2005,2005,F,Ningaui timealeyi,Nt,WAM_M61064,Chichester,877055.519,7682787.819,119,54
DEC02246,Warrawagine,-20.7392,120.8939,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M61096,Chichester,905622.7436,7701829.248,120,58
DEC02247,Wodgina 8,-21.4008,118.7092,22/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61835,Chichester,677176.0057,7632529.192,121,51
DEC02333,Peedamulla 3,-21.9131,115.7172,24/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56833,Hamersley,367499.7389,7576237.98,68,73
DEC02334,Warramboo Creek,-21.6892,115.8431,24/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M56834,Hamersley,380319.3972,7601127.009,106,83
DEC02336,Wickham,-20.6884,117.0069,1/10/2004,2004,F,Ningaui timealeyi,Nt,WAM_M57243,Chichester,500718.5865,7712337.344,122,66
