id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion
DEC02375,Tom Price 4,-22.295,117.4728,1/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61807,Hamersley
DEC02377,Tom Price 7,-22.3214,117.4794,30/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M61809,Hamersley
DEC02378,Tom Price 9,-22.8092,117.4775,30/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M61813,Hamersley
DEC02379,Wodgina 7,-21.0717,118.6797,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61820,Chichester
DEC02380,Wodgina 6,-21.2797,118.6989,25/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61823,Chichester
DEC02381,Wodgina 5,-21.0628,118.9111,23/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61831,Chichester
DEC02383,Wodgina 4,-21.0953,118.8864,22/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61837,Chichester
DEC02385,Wodgina 3,-21.1281,118.6894,22/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61841,Chichester
DEC02386,Wodgina 3,-21.1281,118.6894,22/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M61842,Chichester
DEC02390,Paraburdoo 5,-23.3397,117.8011,1/6/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64793,Hamersley
DEC02392,Marble Bar 3,-21.2878,119.6756,10/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56666,Chichester
DEC02393,Wodgina 4,-21.0953,118.8864,13/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M64663,Chichester
DEC02394,Wodgina 2,-21.1147,118.8517,13/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64669,Chichester
DEC02395,Wodgina 4,-21.0953,118.8864,14/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64671,Chichester
DEC02397,Wodgina 5,-21.0628,118.9111,15/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M64674,Chichester
DEC02398,Wodgina 6,-21.2797,118.6989,17/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64681,Chichester
DEC02401,Wodgina,-21.0636,118.7608,18/5/2006,2006,NA,Ningaui timealeyi,Nt,WAM_M64687,Chichester
DEC02402,Tom Price 6,-22.72,117.5106,21/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M64707,Hamersley
DEC02403,Tom Price 3,-22.8261,117.3711,21/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64709,Hamersley
DEC02405,Tom Price 6,-22.72,117.5106,22/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64720,Hamersley
DEC02406,Tom Price 5,-22.6658,117.6128,22/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M64723,Hamersley
DEC02407,Tom Price 9,-22.7975,117.4944,22/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M64725,Hamersley
DEC02409,Tom Price 2,-22.5044,117.6494,26/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64755,Hamersley
DEC02411,Paraburdoo 4,-23.3181,117.8714,28/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64759,Hamersley
DEC02413,Paraburdoo 3,-23.4189,117.8419,29/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64768,Hamersley
DEC02414,Paraburdoo 2,-23.3758,117.9897,29/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64771,Hamersley
DEC02417,Paraburdoo,-23.3353,118.0361,31/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64785,Hamersley
DEC02419,Paraburdoo 4,-23.3181,117.8714,31/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M64791,Hamersley
DEC01714,Yandicoogina 2,-22.7366,119.0669,22/3/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47153,Hamersley
DEC01716,Yandicoogina 2,-22.7377,119.0697,20/3/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47155,Hamersley
DEC01717,Yandicoogina 2,-22.7316,119.0658,23/3/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47156,Hamersley
DEC01718,Yandicoogina 2,-22.7319,119.0675,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47157,Hamersley
DEC01719,Yandicoogina 2,-22.7319,119.0675,00/03/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47158,Hamersley
DEC01720,Yandicoogina 2,-22.7377,119.0728,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47159,Hamersley
DEC01721,Yandicoogina 2,-22.7394,119.0722,00/03/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47160,Hamersley
DEC01722,Yandicoogina 2,-22.7377,119.0728,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47162,Hamersley
DEC01723,Yandicoogina 2,-22.7352,119.0694,00/03/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47163,Hamersley
DEC01724,Yandicoogina 2,-22.733,119.0667,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47164,Hamersley
DEC01725,Yandicoogina 2,-22.7375,119.0744,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47165,Hamersley
DEC01726,Yandicoogina 2,-22.7333,119.0658,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47166,Hamersley
DEC01727,Yandicoogina 2,-22.7377,119.0694,00/03/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47167,Hamersley
DEC01728,Yandicoogina 2,-22.7383,119.0703,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47168,Hamersley
DEC01729,Yandicoogina 2,-22.7377,119.0728,00/03/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47169,Hamersley
DEC01730,Yandicoogina 2,-22.7325,119.0664,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47170,Hamersley
DEC01731,Yandicoogina 2,-22.7327,119.0633,00/03/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47172,Hamersley
DEC01732,Yandicoogina 2,-22.7352,119.0694,00/03/1996,1996,M,Pseudomys chapmani,Pc,WAM_M47173,Hamersley
DEC01733,Yandicoogina 2,-22.7391,119.0722,00/03/1996,1996,F,Pseudomys chapmani,Pc,WAM_M47174,Hamersley
DEC01734,Yandicoogina 1,-21.4166,120.1667,00/03/1996,1996,NA,Pseudomys chapmani,Pc,WAM_M47176,Chichester
DEC01736,West Angelas Hill,-23.1947,118.5964,15/8/1999,1999,NA,Pseudomys chapmani,Pc,WAM_M52165,Hamersley
